rt,stim,response,subj_idx
1.061641823966056,CP,1.0,17991
0.8477577275280055,SS,1.0,17991
0.9304584711371717,CS,1.0,17991
0.8855503492450225,US,1.0,17991
0.9682304077978188,SS,1.0,17991
0.8823385527502978,SS,1.0,17991
1.0849957736209035,US,1.0,17991
0.8961766242446174,SS,1.0,17991
0.9467479459653987,SS,1.0,17991
1.0767629856018175,US,1.0,17991
0.7600004304586037,CP,1.0,17991
nan,SS,nan,17991
0.9432769019695115,CP,1.0,17991
1.3063802560700424,CP,1.0,17991
0.8419402966428606,CS,1.0,17991
1.2605568331910035,CP,1.0,17991
0.7405581372640881,SS,1.0,17991
0.7671724092306249,CP,1.0,17991
1.1384052042667463,US,1.0,17991
1.060795544355642,SS,1.0,17991
0.8789235331660166,CP,1.0,17991
1.3295975826840731,US,1.0,17991
1.314017232032711,CS,1.0,17991
1.1139803148889769,CS,1.0,17991
0.8280877934339514,SS,1.0,17991
0.959286922492538,CS,1.0,17991
0.873799372026042,CP,1.0,17991
0.9086083765578223,CS,1.0,17991
0.7671133528965584,CP,1.0,17991
0.8177300842871773,CS,1.0,17991
0.8363883305046329,CS,1.0,17991
0.823004563259019,US,1.0,17991
0.7937495852493157,SS,1.0,17991
0.8516607845176623,US,1.0,17991
0.8623429966992262,US,1.0,17991
1.04093452088091,CS,1.0,17991
0.7801736758719926,US,1.0,17991
0.8388244027737528,CP,1.0,17991
1.128898199292962,US,1.0,17991
0.7479639681696426,CS,1.0,17991
0.8381132693448308,SS,1.0,17991
1.56119969219435,US,1.0,17991
0.6967689575412805,SS,1.0,17991
0.9312433242212137,US,1.0,17991
0.8219087124343787,SS,1.0,17991
1.5689854670199566,CS,1.0,17991
0.9605035028198472,SS,1.0,17991
1.2750551090175577,US,1.0,17991
0.6910406224924373,SS,1.0,17991
1.190094258996396,CP,1.0,17991
1.0302083518254221,SS,1.0,17991
0.8173692643449613,CP,1.0,17991
1.1628911351672286,US,1.0,17991
1.1154057339845167,CS,1.0,17991
0.9814083922647114,CP,1.0,17991
1.1680030964253092,SS,1.0,17991
1.2079665542623843,CP,1.0,17991
0.6805784022253647,SS,1.0,17991
0.6346325082868134,CP,1.0,17991
0.6772858657295728,CP,1.0,17991
0.9204258876525273,SS,1.0,17991
1.6504869916716416,CS,1.0,17991
1.1064302149625291,CS,1.0,17991
1.013689362200239,CP,1.0,17991
1.5442472247468686,CS,1.0,17991
0.9922250467898266,US,1.0,17991
1.5382600663069752,CP,1.0,17991
1.9621267001111846,CP,1.0,17991
1.0663084353782324,CS,1.0,17991
nan,CS,nan,17991
3.3594398290879326,US,0.0,17991
1.2238655787132302,US,1.0,17991
0.9753733005600225,SS,1.0,17991
0.8664440761858714,CS,1.0,17991
1.0125894838511158,CS,1.0,17991
0.6792114439067518,US,1.0,17991
0.801800734585413,US,1.0,17991
0.8524931678111898,CS,1.0,17991
0.7191608971443202,CP,1.0,17991
0.7697454835306416,US,1.0,17991
0.9648507275687734,SS,1.0,17991
1.071592494385186,US,1.0,17991
1.074124174509052,US,1.0,17991
1.2441696871155727,SS,1.0,17991
2.4201611287498963,CS,1.0,17991
1.1641279343348288,US,1.0,17991
1.4440667898761603,SS,1.0,17991
2.252029030532867,CP,1.0,17991
0.9561164148981334,SS,1.0,17991
1.463124696540035,SS,1.0,17991
1.4385466769817867,CP,1.0,17991
1.470490790599797,SS,0.0,17991
1.6545990919603355,US,1.0,17991
1.367114711445538,CP,1.0,17991
1.0469041104097414,SS,1.0,17991
1.2095961499380792,CP,1.0,17991
0.7770335777513537,SS,1.0,17991
0.8841412628335092,CP,1.0,17991
1.2782701359556086,CP,1.0,17991
0.8382413681083563,CS,1.0,17991
1.4254059929953655,SS,1.0,17991
1.5607599098984792,CS,1.0,17991
0.30477488035285205,CP,1.0,17991
0.8759474055532337,CP,1.0,17991
1.2225994017699122,CS,0.0,17991
1.5185984098443441,US,1.0,17991
1.2620270122588408,CS,1.0,17991
1.5099083367858839,CS,1.0,17991
1.110364658976323,CP,1.0,17991
0.7045860351718147,CS,1.0,17991
0.7956767846626462,US,1.0,17991
0.8616558178709965,US,1.0,17991
1.6962904363390408,CP,1.0,17991
