subj_idx,CP,SS,US,CS
17991,2.4503276259,2.62416865628,2.45475345821,2.22717617372
18288,2.47383054192,3.39665201795,2.75230344269,2.15379370987
18325,1.98370955103,2.61283416577,2.48052098846,2.19730258692
18333,2.06670196577,3.35174919923,2.60722685,2.60721870397
18334,2.22485384346,3.40567353192,3.05453867923,2.51814944603
18350,2.61369758154,3.68382797269,3.00994581359,3.11100366256
18547,2.07917094218,2.66447763474,2.90550518038,2.68324844372
18619,2.22008776474,2.43754121936,2.59166355154,2.03069684769
18864,2.19601082615,3.31608992513,3.51865412282,2.97438829526
18919,1.91700562564,2.37932081256,2.76269029513,2.09163987128
18977,2.31191714423,2.76325890372,2.55144374449,2.51922622974
18978,1.95696639538,2.48987074051,2.92939989641,2.40909331128
18979,1.70701640897,2.72878018526,2.69810711192,2.08237722244
18988,2.49605105269,3.28501607231,3.08599290987,2.79417687077
19686,2.14266433692,3.12779837359,2.75378316346,2.31986951218
19687,2.23966137141,3.24913497141,2.67193803064,2.24055846013
