stim,onset,rt,response,error_onset,error_duration
2,0.6389178914223521,2.780440381529843,1.0,nil,nil
1,6.678900285746749,1.020439801347493,1.0,nil,nil
3,10.732227668306223,1.0304622272869892,1.0,nil,nil
4,18.785569058806686,1.193105789128822,1.0,nil,nil
1,22.82556791949628,1.072978642853741,1.0,nil,nil
1,28.878870900954098,1.5401594069171551,1.0,nil,nil
4,36.91890381095891,0.9562228811300884,1.0,nil,nil
1,42.97222326646897,1.0465747857733732,1.0,nil,nil
1,49.02555131844474,0.873450403053539,1.0,nil,nil
4,55.07888037504654,1.9392570490890648,1.0,nil,nil
2,61.118852753194915,1.5158736551520633,1.0,nil,nil
1,67.15884858663958,1.059982901649164,1.0,nil,nil
2,71.21220230001018,1.2938647709352153,1.0,nil,nil
2,79.2521688325487,2.1585816764481933,1.0,nil,nil
3,83.29217326078742,1.0943302116202176,1.0,nil,nil
2,91.34553082455477,1.6642953033933736,1.0,nil,nil
1,97.38551878642829,2.6403670983509073,1.0,nil,nil
2,101.42549600856819,0.936871981778495,0.0,101.42549600856819,0.936871981778495
4,107.4788486227335,1.2036122820973105,1.0,nil,nil
1,115.51882640166241,1.0188516960988636,1.0,nil,nil
2,123.57216235395117,1.2774237270068625,1.0,nil,nil
4,129.61216244051047,1.246051759598231,1.0,nil,nil
3,137.65215946373155,3.5253174064891937,1.0,nil,nil
3,143.69214204755008,1.3497657899306432,1.0,nil,nil
1,151.73214132365865,0.9011808890572865,1.0,nil,nil
3,157.7854634681962,1.8397911946558452,1.0,nil,nil
2,165.82546439561975,1.528234106130185,1.0,nil,nil
3,169.86546642057874,1.0722550568825682,1.0,nil,nil
2,177.9188027578739,1.8342055495022578,1.0,nil,nil
3,181.9587954313938,1.314249890046085,1.0,nil,nil
3,187.99879215516467,1.9141553309318624,1.0,nil,nil
4,192.03877523060237,0.9788317987677146,1.0,nil,nil
1,200.0921214938371,1.02942325209915,1.0,nil,nil
4,208.14542060584972,1.3278555712258822,1.0,nil,nil
4,216.18542427944976,1.1673116223728357,1.0,nil,nil
3,220.22544241751712,1.2157647876456394,1.0,nil,nil
4,224.2654262870301,0.9117767184916374,1.0,nil,nil
2,232.3187634063679,1.0983767375410025,1.0,nil,nil
4,236.37209683773563,0.8524466362086969,1.0,nil,nil
3,244.42539542638042,1.3349863603543781,0.0,244.42539542638042,1.3349863603543781
1,252.46540055578498,1.0715461462623352,1.0,nil,nil
4,258.5187393157448,1.290129221699317,1.0,nil,nil
1,262.5587472331017,2.3695125531394297,1.0,nil,nil
4,268.59874331018364,0.9694153243808614,1.0,nil,nil
1,274.6520664202444,1.388625790064907,1.0,nil,nil
3,282.6920598941897,0.9880088685094961,1.0,nil,nil
1,290.7453923934545,0.8470148220685587,1.0,nil,nil
4,298.7987235873079,1.3532201011976213,1.0,nil,nil
1,304.8387209006196,1.2090802086122494,1.0,nil,nil
2,310.87870318666046,1.2410095776967864,0.0,310.87870318666046,1.2410095776967864
1,314.91870211953847,1.7849589226507305,1.0,nil,nil
2,322.95869423693875,1.21746670732864,1.0,nil,nil
4,328.998703154577,1.0089225709862149,1.0,nil,nil
3,333.05202531549094,1.0119892412176341,1.0,nil,nil
2,337.10537221605773,1.1668655476305503,0.0,337.10537221605773,1.1668655476305503
1,345.14535599566807,0.8621486287493099,1.0,nil,nil
2,351.1986821557002,1.2246422052967318,1.0,nil,nil
1,355.2386670087826,0.8973833267600639,1.0,nil,nil
2,359.29202126056043,1.2998298847660408,1.0,nil,nil
2,365.3320147147879,0.8998618068553697,1.0,nil,nil
1,371.3853375932431,1.302516680257213,1.0,nil,nil
3,375.42533996410566,1.1817566350064226,1.0,nil,nil
3,381.46533534937953,0.8857684401900769,1.0,nil,nil
2,387.51867484927243,0.9769320220175359,1.0,nil,nil
3,395.57198947282177,0.8110772562295097,1.0,nil,nil
4,399.62532866123456,1.0302830099326457,1.0,nil,nil
2,407.67863907377887,1.3762506486955317,1.0,nil,nil
2,415.7186572482751,1.0080565417620164,1.0,nil,nil
3,419.7719792738353,0.8433483272947342,1.0,nil,nil
3,425.8253096689341,2.3978628930271952,1.0,nil,nil
4,429.8653144641321,0.7899320567748873,1.0,nil,nil
4,437.9186095546356,1.1764799813518039,1.0,nil,nil
1,441.9585980803158,1.296526700443792,1.0,nil,nil
3,447.99861414162297,3.800031259357638,nil,nil,nil
3,456.05194832829784,0.794412265052415,1.0,nil,nil
4,460.1052634327707,0.9736430227658275,1.0,nil,nil
4,468.15860022124434,0.7842171969405172,1.0,nil,nil
3,474.21194600756644,1.2589657501603142,1.0,nil,nil
2,482.2519239098174,1.4021786381745187,1.0,nil,nil
4,488.29190731779,1.002069046440738,1.0,nil,nil
1,492.3452632599856,1.060706929776643,1.0,nil,nil
4,496.39859504906144,1.0558589744532583,1.0,nil,nil
4,502.4519249027453,1.6020575283409926,1.0,nil,nil
1,510.49191092622004,1.7219326098866077,1.0,nil,nil
3,514.5319050495291,1.4265057329821502,1.0,nil,nil
