onset,error_onset,subj_idx,error_duration,response,stim,rt
0.6455680626422691,nil,18979,nil,1,CP,3.266886225050257
6.685538208723301,nil,18979,nil,1,SS,1.3462904871703358
10.725526629503292,nil,18979,nil,1,CS,1.0662655771557183
18.778813090164476,nil,18979,nil,1,US,1.1488780647487147
22.818792767120613,nil,18979,nil,1,SS,1.5809943362182821
28.858772045037767,nil,18979,nil,1,SS,1.101352186204167
36.912083994222485,nil,18979,nil,1,US,1.0958967996448337
42.96540036094302,nil,18979,nil,1,SS,0.9539846479310654
49.01869707737205,nil,18979,nil,1,SS,0.8932131463152473
55.07201584735958,nil,18979,nil,1,US,1.6156963494722731
61.11196901111907,nil,18979,nil,1,CP,1.847669082304492
67.15196355086664,nil,18979,nil,1,SS,0.8476080209329666
71.20527973611024,nil,18979,nil,1,CP,1.0339088841901685
79.2586019300361,nil,18979,nil,1,CP,1.3087590641553106
83.29858572774901,nil,18979,nil,1,CS,2.060276151758444
91.33852193725397,nil,18979,nil,1,CP,1.2608229659417702
97.37849981652107,nil,18979,nil,1,SS,1.2766825043363497
101.41848163506802,nil,18979,nil,1,CP,2.244669039195287
107.45847186757237,nil,18979,nil,1,US,1.9080360551051854
115.498457730675,nil,18979,nil,1,SS,1.0602999899710994
123.55173333901257,nil,18979,nil,1,CP,1.4306900379997387
129.60526616268544,nil,18979,nil,1,US,1.4574907859532686
137.64502933656695,nil,18979,nil,1,CS,1.5770232787581335
143.68500320636667,nil,18979,nil,1,CS,1.2737427034553548
151.72496867925292,nil,18979,nil,1,SS,1.361605736972706
157.76493772445974,nil,18979,nil,1,CS,1.304924268340983
165.805148072468,nil,18979,nil,1,CP,1.209029657406063
169.84489373564793,nil,18979,nil,1,CS,1.6013806053815642
177.88487800158327,nil,18979,nil,1,CP,2.609303911209281
181.9248430333173,nil,18979,nil,1,CS,1.3452305808132223
187.96483261913454,nil,18979,nil,1,CS,0.9691026639520715
192.0181410501391,nil,18979,nil,1,US,0.8758194026377168
200.07146254624604,nil,18979,nil,1,SS,1.174780671550252
208.11140336377866,nil,18979,nil,1,US,1.2382137719432649
216.1513838698993,nil,18979,nil,1,US,1.062182648711314
220.20470072589524,nil,18979,nil,1,CS,1.0889391481759958
224.25801657425836,nil,18979,nil,1,US,0.9474824842836824
232.31131119521888,nil,18979,nil,1,CP,1.5261804389447207
236.35131250162885,nil,18979,nil,1,US,1.3739906245318707
244.3912540260062,nil,18979,nil,1,CS,1.36598827740454
252.43123504948016,nil,18979,nil,1,SS,1.333885200376244
258.47121936855183,nil,18979,nil,1,US,0.9659539798849437
262.52454523907363,nil,18979,nil,1,SS,0.8885021155219874
268.5778479110486,nil,18979,nil,1,US,1.171078693390882
274.63117218841217,nil,18979,nil,1,SS,0.9657962391829642
282.68447259045934,nil,18979,nil,1,CS,1.160281577918795
290.7244453032399,nil,18979,nil,1,SS,1.20014246383289
298.7644136546369,nil,18979,nil,1,US,0.8797324657352874
304.81770345301265,nil,18979,nil,1,SS,0.9787515294920013
310.87103013665546,nil,18979,nil,1,CP,1.3733877580489207
314.91099340278015,nil,18979,nil,1,SS,0.8854569797149452
322.9643054121261,nil,18979,nil,1,CP,1.1273369133414235
329.01761996811547,nil,18979,nil,1,US,1.1461677207516914
333.05760303492207,nil,18979,nil,1,CS,1.0739874241771759
337.1109303522171,nil,18979,nil,1,CP,0.8211134871999093
345.1642359428115,nil,18979,nil,1,SS,0.9356996119895484
351.2175288753642,nil,18979,nil,1,CP,1.0262824461860873
355.27085115451337,nil,18979,nil,1,SS,1.0609928874364414
359.32414466056434,nil,18979,nil,1,CP,1.7356604237065767
365.3641396905914,nil,18979,nil,1,CP,0.9436173723406682
371.4174586590998,nil,18979,nil,1,SS,0.9942246733990032
375.4707657756735,nil,18979,nil,1,CS,1.02090829264489
381.52407131111977,nil,18979,nil,1,CS,2.2153793551151466
387.5640536811079,nil,18979,nil,1,CP,1.4468911869953445
395.6040177312789,nil,18979,nil,1,CS,1.038805030129879
399.65869322130675,nil,18979,nil,1,US,1.5605666760238819
407.69731416697687,nil,18979,nil,1,CP,0.8098764735987061
415.75060552441937,nil,18979,nil,1,CP,2.756443042340834
419.7905914276271,nil,18979,nil,1,CS,0.9243631197423383
425.8439182646689,nil,18979,nil,1,CS,1.1830479501513764
429.88388231584395,nil,18979,nil,1,US,1.0229542295382998
437.93720170645247,nil,18979,nil,1,US,0.9615004421539197
441.99051839701497,nil,18979,nil,1,SS,1.1081878091827093
448.0438053680082,nil,18979,nil,1,CS,0.9187687674857443
456.09713096982887,nil,18979,nil,1,CS,2.152971137667919
460.1371055364507,nil,18979,nil,1,US,1.0094356109439104
468.1903960336458,nil,18979,nil,1,US,0.8673524027726671
474.24370876688045,nil,18979,nil,1,CS,1.0625445953955932
482.29701186697275,nil,18979,nil,1,CP,1.008743441383558
488.35031926126976,nil,18979,nil,1,US,0.8112863192945952
492.4036387671804,nil,18979,nil,1,SS,0.9984891857748153
496.45697031953387,nil,18979,nil,1,US,1.3130001935023756
502.4969446705909,nil,18979,nil,1,US,1.1846341461241536
510.53690236216426,nil,18979,nil,1,SS,2.072988525047549
514.5902309547928,nil,18979,nil,1,CS,0.8995868837664602
522.6435106507961,nil,18979,nil,1,US,1.0224460501885915
528.696819639259,nil,18979,nil,1,SS,0.8808149670621788
532.7501390188372,nil,18979,nil,1,CP,1.387237907940289
536.790120656915,nil,18979,nil,1,SS,0.9793124755633471
542.8434339826927,nil,18979,nil,1,SS,1.333359840180492
546.8834076259045,nil,18979,nil,1,CP,1.1018959845168865
