stim	onset	rt	response	error_onset	error_duration
2	0.5498056256828932	1.7440735830514313	0	0.5498056256828932	1.7440735830514313
1	6.589764152437965	1.4166250523867348	1	nil	nil
3	10.629736333831715	1.5599437772580131	1	nil	nil
4	18.669710598662277	1.9764617992959757	1	nil	nil
1	22.70969265482927	1.6083472593472834	1	nil	nil
1	28.749667790933927	1.400356127493069	1	nil	nil
4	36.78962088350636	1.6557089934731266	1	nil	nil
1	42.82959705431222	1.5843028123399563	1	nil	nil
1	48.869555647239395	1.6396280020853737	1	nil	nil
4	54.90952880718669	1.608151905473278	1	nil	nil
2	60.949504872717625	2.1680790292666643	1	nil	nil
1	66.98944690141252	1.7120788909051043	0	66.98944690141252	1.7120788909051043
2	71.02947284512538	1.9514485807958408	0	71.02947284512538	1.9514485807958408
2	79.0694124805741	2.7432992951607957	0	79.0694124805741	2.7432992951607957
3	83.1094031843113	1.8473103570322564	1	nil	nil
2	91.14934760825781	1.5353152628367752	0	91.14934760825781	1.5353152628367752
1	97.18933346734957	1.4312529602266295	1	nil	nil
2	101.2293120133545	2.2151872166350586	0	101.2293120133545	2.2151872166350586
4	107.26928914667315	2.127136842157597	1	nil	nil
1	115.30924470869013	1.3989639228384476	1	nil	nil
2	123.34919789450487	1.3110824542054615	0	123.34919789450487	1.3110824542054615
4	129.38917171016328	2.126850979056144	1	nil	nil
3	137.42911684697083	2.615452483983063	0	137.42911684697083	2.615452483983063
3	143.46911476754303	2.2708260199115102	0	143.46911476754303	2.2708260199115102
1	151.50906521320667	1.8948177854199457	1	nil	nil
3	157.54903863784511	1.4947119040689358	0	157.54903863784511	1.4947119040689358
2	165.58900302489474	1.6471831600474616	0	165.58900302489474	1.6471831600474616
3	169.6289832913908	2.134583564102286	1	nil	nil
2	177.66895650948936	1.5184699796463974	0	177.66895650948936	1.5184699796463974
3	181.70894027712347	1.7265230611892548	0	181.70894027712347	1.7265230611892548
3	187.7488991437649	2.1909935742287416	1	nil	nil
4	191.78888753145748	1.8545274055286427	0	191.78888753145748	1.8545274055286427
1	199.82884180009842	1.5750001985179551	1	nil	nil
4	207.86878709331359	1.3183372512257847	0	207.86878709331359	1.3183372512257847
4	215.90877760354488	1.6702171046435978	0	215.90877760354488	1.6702171046435978
3	219.9487453152733	2.0141793150123704	0	219.9487453152733	2.0141793150123704
4	223.988731209457	1.6947317959875363	1	nil	nil
2	232.0286927300258	1.8147687805176247	1	nil	nil
4	236.06867368531857	2.1021285234464813	0	236.06867368531857	2.1021285234464813
3	244.10865023010047	2.7658936815087145	1	nil	nil
1	252.14859033477387	1.5979174144513308	1	nil	nil
4	258.188567368833	2.4705549835070997	0	258.188567368833	2.4705549835070997
1	262.2285549263579	1.3738691825665228	1	nil	nil
4	268.2685351728014	2.0457953789391468	1	nil	nil
1	274.30850421199375	1.2944021636476464	1	nil	nil
3	282.34846535056477	1.6223635869619102	1	nil	nil
1	290.38842516267505	1.5656379209731313	1	nil	nil
4	298.428392410191	2.173486500767467	0	298.428392410191	2.173486500767467
1	304.4683602221803	1.358211967234638	1	nil	nil
2	310.50832517370327	1.4613952887038977	1	nil	nil
1	314.5485107650966	1.0692552301507021	1	nil	nil
2	322.60161285956383	1.6640922126744044	1	nil	nil
4	328.6415902726112	2.376543762219626	0	328.6415902726112	2.376543762219626
3	332.68155811969245	1.8405992741054433	0	332.68155811969245	1.8405992741054433
2	336.7215399532779	1.4239206749616642	0	336.7215399532779	1.4239206749616642
1	344.7615030920706	1.0318063756403717	1	nil	nil
2	350.81481599975905	2.7943679553636684	1	nil	nil
1	354.8547853868595	1.1384176300143736	1	nil	nil
2	358.9081173452714	1.541591918908125	0	358.9081173452714	1.541591918908125
2	364.94807451849374	2.525621413889894	1	nil	nil
1	370.9880626455051	1.3409103841022443	1	nil	nil
3	375.02803319062787	2.0928619256264938	1	nil	nil
3	381.0680050632154	2.8928067987444592	1	nil	nil
