stim	onset	rt	response	error_onset	error_duration
2	0.5540558819989201	3.110124671310132	0	0.5540558819989201	3.110124671310132
1	6.594016962214937	3.7259280344096624	0	6.594016962214937	3.7259280344096624
3	10.634002513886117	1.6543636265200803	1	nil	nil
4	18.673952946680856	1.3178229892587296	1	nil	nil
1	22.713932669157657	1.4938563846426405	1	nil	nil
1	28.75391384475506	1.4219759553234326	1	nil	nil
4	36.7938457432374	1.3342738852607	0	36.7938457432374	1.3342738852607
1	42.833822413090274	1.2695551962115132	1	nil	nil
1	48.87378859761111	3.5815239280391324	1	nil	nil
4	54.91376915058572	1.9097944024088065	1	nil	nil
2	60.95371287857006	2.2533797358446463	0	60.95371287857006	2.2533797358446463
1	66.99377761799087	2.4451391888187572	1	nil	nil
2	71.03365275785563	1.869242694624063	1	nil	nil
2	79.07360967254635	3.685146792305204	1	nil	nil
3	83.11358658870768	1.8132006115938566	1	nil	nil
2	91.15353570106072	1.3490881852030725	1	nil	nil
1	97.19352632729306	1.4050624143601453	1	nil	nil
2	101.23351114204343	1.2208896132588052	0	101.23351114204343	1.2208896132588052
4	107.27346775862407	2.6532484412705344	1	nil	nil
1	115.31341670855363	2.076811495297534	1	nil	nil
2	123.35336577879661	2.1971490732507846	1	nil	nil
4	129.39334898769448	1.556693904110034	1	nil	nil
3	137.4332963554998	2.5329670648156934	0	137.4332963554998	2.5329670648156934
3	143.47325077635696	1.3569333880313934	0	143.47325077635696	1.3569333880313934
1	151.51319938038478	1.6764261662069657	1	nil	nil
3	157.55319170303937	2.4844232843615828	0	157.55319170303937	2.4844232843615828
2	165.59314057476467	1.8527521221985808	1	nil	nil
3	169.6331271009767	1.4841321688531934	1	nil	nil
2	177.6730873904644	3.5241705709549933	0	177.6730873904644	3.5241705709549933
3	181.71305991217105	1.8041313470444038	0	181.71305991217105	1.8041313470444038
3	187.75300616674122	1.8841088978601874	0	187.75300616674122	1.8841088978601874
4	191.7930168549351	1.3484943472653868	0	191.7930168549351	1.3484943472653868
1	199.83296080282616	1.364522852234586	1	nil	nil
4	207.87288781958296	2.50849825578689	1	nil	nil
4	215.91286467625605	1.3241550558459494	1	nil	nil
3	219.95284414005846	1.3477558201711872	1	nil	nil
4	223.99284335033326	1.1321377196559297	1	nil	nil
2	232.04610891223138	1.6703047627484011	1	nil	nil
4	236.08608997018882	1.3745625182978074	1	nil	nil
3	244.1260366131046	1.7021030051669186	1	nil	nil
1	252.16599557914287	1.717989741593101	1	nil	nil
4	258.2192860606647	1.760657699737294	1	nil	nil
1	262.2592710318231	1.4325692805914514	1	nil	nil
4	268.2992330474772	1.5764712249933837	1	nil	nil
1	274.33921425014523	1.5524769779890448	1	nil	nil
3	282.3791812501254	1.4563840647956567	1	nil	nil
1	290.41912165177246	1.3926393144797657	1	nil	nil
4	298.4590920445962	1.528175182308587	0	298.4590920445962	1.528175182308587
1	304.49923744828175	1.2478573331150073	1	nil	nil
2	310.53901724595426	1.6005514029907317	1	nil	nil
1	314.5789948298566	1.3199738749008247	1	nil	nil
2	322.61894930518883	1.5438983734266003	0	322.61894930518883	1.5438983734266003
4	328.65892424252525	1.6078476448606125	1	nil	nil
3	332.69889387971307	2.191754637755821	1	nil	nil
2	336.738875930258	1.5917568475160806	1	nil	nil
1	344.77883532040187	1.303729214485429	1	nil	nil
2	350.8187692097399	2.0475846255908436	1	nil	nil
1	354.85877226102684	3.1199581799892258	0	354.85877226102684	3.1199581799892258
2	358.89873649914125	1.59954981919509	1	nil	nil
2	364.93871008595715	1.7514361512339747	1	nil	nil
1	370.9786847134865	1.8077769068040652	1	nil	nil
3	375.0186585315723	1.4078110090304108	1	nil	nil
3	381.0586336253168	3.1437511633662325	1	nil	nil
2	387.09859088557505	1.559118596474491	0	387.09859088557505	1.559118596474491
3	395.13855102467096	3.111010796141727	1	nil	nil
4	399.1785275528209	3.1031054545514962	1	nil	nil
2	407.21848194694167	1.5604611099597605	1	nil	nil
2	415.25842710999996	1.1993962502256181	1	nil	nil
3	419.2984224732468	1.3268787846986925	1	nil	nil
3	425.33838779451753	1.1991443887068272	1	nil	nil
4	429.37837058499144	1.4392105531755988	1	nil	nil
4	437.4183082374725	1.2872400346905124	1	nil	nil
1	441.45829789484605	2.9190746806675634	1	nil	nil
3	447.4982439208202	2.9744817544396938	1	nil	nil
3	455.53819916315206	1.5748601745217456	1	nil	nil
4	459.5781872594562	2.0067755098289126	1	nil	nil
4	467.6181274686014	1.2863451119251295	1	nil	nil
3	473.65810730571	2.702239887640644	1	nil	nil
2	481.69806462645965	1.5981956172422542	1	nil	nil
4	487.73800735283294	1.6385205789756583	1	nil	nil
1	491.7779935842764	1.7696784147342441	1	nil	nil
4	495.8179876872382	1.5103920716669563	1	nil	nil
4	501.85796131616416	1.95841675968677	1	nil	nil
1	509.89790766130363	1.7258491173656694	1	nil	nil
3	513.9379020229399	1.2463266972572455	0	513.9379020229399	1.2463266972572455
4	521.9778587691917	1.885742762801783	1	nil	nil
1	528.0178227910756	1.3421355740629224	1	nil	nil
2	532.0577765288185	2.069584475867032	1	nil	nil
1	536.0977566002043	2.477600308136516	1	nil	nil
1	542.1377457947046	1.373542150538924	1	nil	nil
2	546.1777169328047	1.5974539228923277	1	nil	nil
1	550.2176877550814	1.8774488082267453	1	nil	nil
4	556.257630664933	1.5578074276950247	1	nil	nil
2	562.2976187014151	1.6533281323313531	0	562.2976187014151	1.6533281323313531
1	570.3375789969186	3.2456398301569607	0	570.3375789969186	3.2456398301569607
2	576.3775380558654	1.8611144570177203	1	nil	nil
1	580.4175256829467	2.957562017325472	0	580.4175256829467	2.957562017325472
2	586.4574977838902	1.213532874693101	1	nil	nil
2	592.4974670334004	1.9408536094083502	1	nil	nil
3	596.5374340507587	2.1970169809301296	1	nil	nil
1	600.5773967037412	1.5728059759103417	1	nil	nil
3	606.6173789531376	1.4688904066601935	1	nil	nil
2	610.6573603479737	2.245196337453308	1	nil	nil
2	618.697313993142	1.572679718800373	1	nil	nil
3	622.7372996861818	2.9965568127586266	1	nil	nil
4	626.7772754503403	1.6050864292919869	1	nil	nil
3	632.8172361876623	2.212530426311332	1	nil	nil
3	640.8572068271292	1.4848412521973842	1	nil	nil
2	644.8971636840029	1.260958896523789	1	nil	nil
3	648.9371541173991	1.1567299223311238	1	nil	nil
4	656.9771002399589	1.1562971061234748	1	nil	nil
4	665.0170483567163	0.884702986785669	1	nil	nil
2	669.0703748748406	2.3912975034922965	0	669.0703748748406	2.3912975034922965
3	675.1103307545	1.8067798768788634	1	nil	nil
4	681.1503108472753	3.5826982160165244	0	681.1503108472753	3.5826982160165244
3	689.1902597430635	1.7190660461606058	1	nil	nil
3	697.2302154726653	2.254490820071169	1	nil	nil
4	705.2701496601139	1.7028113395585933	1	nil	nil
1	709.3101301315428	1.950827460914752	1	nil	nil
4	717.3501041879163	1.5508054428541982	1	nil	nil
