stim,onset,rt,response,error_onset,error_duration
2,0.6415598586982014,3.8001322069530943,nil,nil,nil
1,6.708202399588117,0.9632458127516657,0.0,6.708202399588117,0.9632458127516657
3,10.761534094205672,1.7338875228088,1.0,nil,nil
4,18.801519267557524,1.4772584744232518,1.0,nil,nil
1,22.84149595211511,2.25376670354035,1.0,nil,nil
1,28.8814740356529,1.8216852030955124,1.0,nil,nil
4,36.92145591241206,1.3253751833108254,1.0,nil,nil
1,42.961415596989355,1.013510231336113,1.0,nil,nil
1,49.01472094325891,3.800060271440998,nil,nil,nil
4,55.06804516071952,1.3466571102007947,1.0,nil,nil
2,61.10803219258196,1.3940214562626352,1.0,nil,nil
1,67.14799878316171,1.3144706969496838,1.0,nil,nil
2,71.18796916930205,1.2263503866743122,1.0,nil,nil
2,79.22796208784257,3.057818590793431,0.0,79.22796208784257,3.057818590793431
3,83.26793599014763,1.570183322527555,1.0,nil,nil
2,91.30789536525208,1.7302302174339275,1.0,nil,nil
1,97.34790180971777,1.5220965353028078,1.0,nil,nil
2,101.38787278539439,1.3455129668000154,1.0,nil,nil
4,107.42785944127718,1.4499494519041036,1.0,nil,nil
1,115.46782752708714,1.4893634049421962,1.0,nil,nil
2,123.50780269636198,3.601593878710446,0.0,123.50780269636198,3.601593878710446
4,129.5477923059443,1.1856182656129022,1.0,nil,nil
3,137.58775210816202,1.4250574457419134,1.0,nil,nil
3,143.6277169331397,2.3374589643672152,1.0,nil,nil
1,151.66769619307706,1.2415288097645316,1.0,nil,nil
3,157.70769756030768,1.889159182268486,1.0,nil,nil
2,165.7476521439221,3.3446791426322307,0.0,165.7476521439221,3.3446791426322307
3,169.78762858183654,1.6092589717200099,1.0,nil,nil
2,177.82758506941445,1.521061871278107,1.0,nil,nil
3,181.86759008782883,3.800111278399527,nil,nil,nil
3,187.92090559759163,2.4513626212328745,1.0,nil,nil
4,191.96087822758,1.2675201485199068,1.0,nil,nil
1,200.0008583868621,1.1394590198451624,1.0,nil,nil
4,208.05416410643738,1.0139870251787215,1.0,nil,nil
4,216.10745703066004,1.7761354480680893,1.0,nil,nil
3,220.14745020720693,1.2645025446327054,1.0,nil,nil
4,224.18741937817958,0.8800367284056847,1.0,nil,nil
2,232.24074206197474,1.0350808266875902,1.0,nil,nil
4,236.2940677439192,0.8855336470405746,1.0,nil,nil
3,244.34738433984603,1.0561731242769383,1.0,nil,nil
1,252.4006654883733,1.2427542761461154,1.0,nil,nil
4,258.4406639379986,1.2665734307429375,1.0,nil,nil
1,262.48062932510766,1.1946606009669267,1.0,nil,nil
4,268.52059823473246,0.8660992049281049,1.0,nil,nil
1,274.57392295450154,1.4447129611180571,0.0,274.57392295450154,1.4447129611180571
3,282.613905706542,3.8001296683360124,nil,nil,nil
1,290.6805432457277,0.22639864279517496,1.0,nil,nil
4,298.73383505404126,1.0203771220312774,1.0,nil,nil
1,304.7871654736682,1.40739575560292,1.0,nil,nil
2,310.8271185440053,1.5674565828257983,1.0,nil,nil
1,314.8671051754909,1.239293644433019,1.0,nil,nil
2,322.90708025453023,3.8000132167853735,nil,nil,nil
4,328.9603902088111,1.0972785424009999,1.0,nil,nil
3,333.0137146184388,3.8000330414615746,nil,nil,nil
2,337.06701838525805,1.4950486835687116,0.0,337.06701838525805,1.4950486835687116
1,345.1070187301566,1.1989865673185705,1.0,nil,nil
2,351.14697148767846,1.640804077294888,0.0,351.14697148767846,1.640804077294888
1,355.18697076111766,1.1107563264913551,1.0,nil,nil
