stim	onset	rt	response	error_onset	error_duration
2	0.5532634385745041	2.474110656814446	0.0	0.5532634385745041	2.474110656814446
1	6.593231752874999	1.5301133598695742	0.0	6.593231752874999	1.5301133598695742
3	10.633221818947277	2.44999956787251	0.0	10.633221818947277	2.44999956787251
4	18.673151164539377	3.297547717543239	1.0	nil	nil
1	22.713152082937086	2.657479711045198	1.0	nil	nil
1	28.753139515134535	2.8177466447423285	1.0	nil	nil
4	36.79308857718661	3.2892476202896432	0.0	36.79308857718661	3.2892476202896432
1	42.83307738698022	1.8972032785568445	1.0	nil	nil
1	48.873040157812284	1.6412064919441036	1.0	nil	nil
4	54.913032264209505	3.8000888438818947	nil	nil	nil
2	60.97966897502465	1.4624171908681092	0.0	60.97966897502465	1.4624171908681092
1	67.019626852084	1.854874935582302	1.0	nil	nil
2	71.05964796819717	1.5268691885821681	0.0	71.05964796819717	1.5268691885821681
2	79.09961296884921	1.950744433973341	0.0	79.09961296884921	1.950744433973341
3	83.1395993232336	2.3267512998927486	0.0	83.1395993232336	2.3267512998927486
2	91.1795684085464	1.6462346313883245	0.0	91.1795684085464	1.6462346313883245
1	97.2195271187802	1.4627477446128978	1.0	nil	nil
2	101.2594952877007	1.8466522062581134	0.0	101.2594952877007	1.8466522062581134
4	107.29947814495881	1.902453448500637	1.0	nil	nil
1	115.33946714524973	1.718377723859703	1.0	nil	nil
2	123.39282321057999	2.1771459749952555	1.0	nil	nil
4	129.4460553364279	1.8118474267839701	1.0	nil	nil
3	137.49947297546623	1.4701825584770631	0.0	137.49947297546623	1.4701825584770631
3	143.53935894083588	1.5502207260942669	1.0	nil	nil
1	151.5792991748467	2.7095467490144074	0.0	151.5792991748467	2.7095467490144074
3	157.61929896028687	1.6060394650039598	1.0	nil	nil
2	165.65926252017744	1.5658869830258482	0.0	165.65926252017744	1.5658869830258482
3	169.699244970373	1.525951210659514	1.0	nil	nil
2	177.73920929726592	2.413789932724285	1.0	nil	nil
3	181.77920459399047	1.9978588566164035	1.0	nil	nil
