bias,subj_idx
0.761680061154,18438
0.758651977436,18695
0.763866570897,19719
0.762559933846,20372
0.827960991026,20890
0.764332503974,19615
0.759883835128,21280
0.762223789615,20129
0.762683345769,20897
0.746761141667,19109
0.828010822051,20541
0.764560733333,21586
0.761334261923,19156
0.756203616667,21076
0.781236076538,21466
0.757735302436,18910
0.761394954744,21601
0.765278432051,21219
0.757234991154,20709
0.765506328333,20069
0.711395642436,19566
0.765413259615,20731
0.762495339103,19581
0.760048884615,18942
