threshold,subj_idx
19.8176263724,18438
15.4764268908,18695
12.4359763672,19719
9.98836466692,20372
3.90162866064,20890
10.8448135735,19615
11.5391167437,21280
12.3600795628,20129
11.4950152831,20897
81.5825021979,19109
3.90484737051,20541
9.89981397846,21586
15.6461379444,19156
19.9776913155,21076
0.0328569751282,21466
20.5628186491,18910
14.0266399667,21601
8.84393362897,21219
22.5405663031,20709
8.09229972974,20069
62.909730769,19566
10.0260452874,20731
13.416508891,19581
13.5594122194,18942
