stim,response,rt,subj_idx
CP,1,1.5806542596183135,18439
SS,1,0.9805720490476233,18439
CS,1,1.4391287791131617,18439
US,1,1.3111948936730187,18439
SS,1,0.999131596467123,18439
SS,1,1.12964758018461,18439
US,1,1.1402850088743435,18439
SS,1,0.9669705070227792,18439
SS,1,1.1535195329797716,18439
US,1,1.034623128365638,18439
CP,1,1.227619292354575,18439
SS,1,1.0840644782892923,18439
CP,1,1.7746983256311069,18439
CP,1,1.4065326522213581,18439
CS,1,1.4781828001086978,18439
CP,1,1.3985000100256002,18439
SS,1,1.270613612528905,18439
CP,1,1.3420088360617228,18439
US,1,1.1979134751709353,18439
SS,0,2.7418210208652454,18439
CP,1,2.0542032956018375,18439
US,1,1.029714662266997,18439
CS,1,1.1048515705988393,18439
CS,1,1.0674047704505938,18439
SS,1,1.2138123502354574,18439
CS,1,1.2054447598220577,18439
CP,1,1.2459048275995883,18439
CS,1,1.3334024313462578,18439
CP,1,0.9658200914400368,18439
CS,1,0.9684215031229542,18439
CS,1,1.3145499764377746,18439
US,1,0.9390107741201064,18439
SS,1,1.101613198448831,18439
US,1,1.0396523145409446,18439
US,1,0.8748096672316024,18439
CS,1,1.3094244668591273,18439
US,1,1.3970218620597734,18439
CP,1,1.0608529441851715,18439
US,1,1.4555731068085151,18439
CS,1,2.087885283590367,18439
SS,1,1.2079438865439442,18439
US,1,1.5593145890779851,18439
SS,1,0.9758022929854633,18439
US,1,1.2099489407355577,18439
SS,1,0.9700755381545605,18439
CS,1,0.956970375680612,18439
SS,1,1.0550470467933337,18439
US,1,1.2100855091775884,18439
SS,1,1.0100457804874168,18439
CP,1,1.4841682992610004,18439
SS,1,0.8366534174201661,18439
CP,1,1.0626688015709078,18439
US,1,1.1699619055725634,18439
CS,1,1.4413401658330258,18439
CP,1,1.2492941036107368,18439
SS,1,0.961302555670045,18439
CP,1,1.0043319654287188,18439
SS,1,1.302448798363912,18439
CP,1,0.9425683965164353,18439
CP,0,1.5451359127328033,18439
SS,1,1.1450152447887376,18439
CS,1,0.8654901101872383,18439
CS,1,1.1795799045521562,18439
CP,1,1.660067016913672,18439
CS,1,1.0838723939486954,18439
US,1,1.1020787535471754,18439
CP,1,1.0887708017926343,18439
CP,1,1.2117846830224153,18439
CS,1,1.8752462557276885,18439
CS,1,1.1792188933122816,18439
US,1,0.9477195359886537,18439
US,1,1.254158191881288,18439
SS,1,0.8378351898463734,18439
CS,1,0.864946708910793,18439
CS,1,1.955008022940092,18439
US,1,0.9635714344440203,18439
US,1,0.9660567671635363,18439
CS,1,0.9446781058559282,18439
CP,1,0.9547058763382665,18439
US,1,1.2539381315218634,18439
SS,1,0.9179428989664302,18439
US,1,0.9199800920396228,18439
US,1,0.8911186296227243,18439
SS,1,0.8612451969638641,18439
CS,1,0.8803266605846147,18439
US,1,0.7944691745451564,18439
SS,1,0.8854991738426179,18439
CP,1,1.1121535698166554,18439
SS,1,0.8504326331731136,18439
SS,1,0.9095835620973958,18439
CP,1,0.775650542916992,18439
SS,1,1.8421925535640185,18439
US,1,0.7866686722336453,18439
CP,1,1.0047289746235037,18439
SS,1,1.215922504736227,18439
CP,1,1.1118360881901026,18439
SS,1,0.8180154222518468,18439
CP,1,1.1811030168737489,18439
CP,1,0.9644674129467603,18439
CS,1,0.9196919249243365,18439
SS,1,0.7542554076135275,18439
CS,1,1.020471194817219,18439
CP,1,1.0155300003007142,18439
CP,1,0.8822258113686985,18439
CS,1,1.1807745565911318,18439
US,1,0.7962966542690992,18439
