stim	onset	rt	response	error_onset	error_duration
2	0.6498114749501838	2.4658727709320374	0.0	0.6498114749501838	2.4658727709320374
1	6.68977864326007	1.2891381936842663	1.0	nil	nil
3	10.729774243776774	1.1929634646421619	1.0	nil	nil
4	18.76972999228019	1.2654892459322582	1.0	nil	nil
1	22.809729124013757	1.2809274386163452	1.0	nil	nil
1	28.84970460000659	1.6168547478919209	1.0	nil	nil
4	36.88964890965508	1.177357716640472	1.0	nil	nil
1	42.92964757316622	1.2407905613654293	1.0	nil	nil
1	48.96962368983077	0.9287806895990798	1.0	nil	nil
4	55.02292786272301	1.075353204865678	1.0	nil	nil
2	61.076238986755925	1.42187695485336	1.0	nil	nil
1	67.11620938850501	0.9023888890005765	1.0	nil	nil
2	71.16953054271653	1.2005232246156083	1.0	nil	nil
2	79.20950358636037	1.4648788036774931	1.0	nil	nil
3	83.24947193876142	1.7123901793675032	1.0	nil	nil
2	91.28946308364903	1.3927808710723184	0.0	91.28946308364903	1.3927808710723184
1	97.32944172389944	1.4482039964295836	1.0	nil	nil
2	101.36942473656381	3.8000709351417754	nil	nil	nil
4	107.42274402691146	1.203322513762032	1.0	nil	nil
1	115.46269703225516	2.0906794022394024	1.0	nil	nil
2	123.50266811478105	1.7386734386745957	1.0	nil	nil
4	129.5426534023809	1.1146256349074974	1.0	nil	nil
3	137.59594732251207	2.1492914446698705	1.0	nil	nil
3	143.6359281434543	1.8851284642914834	1.0	nil	nil
1	151.67589114388647	1.4131380483067915	1.0	nil	nil
3	157.7158758028454	1.293103921234433	1.0	nil	nil
2	165.75582989703253	0.9974736572457914	1.0	nil	nil
3	169.80915214610286	0.8395764675788087	1.0	nil	nil
2	177.8624636110253	1.2745668635143375	1.0	nil	nil
3	181.90242279248923	2.346189789350319	1.0	nil	nil
3	187.94239073080826	1.1224934348647366	1.0	nil	nil
4	191.99572822667142	1.092693080941899	1.0	nil	nil
1	200.0490467028958	1.1273039683565003	1.0	nil	nil
4	208.10233284773312	1.537901397647147	1.0	nil	nil
4	216.14230271508677	1.0182318050101458	1.0	nil	nil
3	220.19561560372676	1.3403798323615774	1.0	nil	nil
4	224.2356226070042	1.460417800459254	1.0	nil	nil
2	232.27557036064172	0.9165168439631088	1.0	nil	nil
4	236.32888602552703	1.1510730737227277	1.0	nil	nil
3	244.36885800138407	1.3509550346407195	1.0	nil	nil
1	252.4088257301555	1.0953694813451875	1.0	nil	nil
4	258.4621419976138	0.9855140225990908	1.0	nil	nil
1	262.5154511414803	1.156106738586459	1.0	nil	nil
4	268.5554392203667	0.8520427596013178	1.0	nil	nil
1	274.6089332668271	0.9425008883172268	1.0	nil	nil
3	282.6620490319747	1.4331908461099374	1.0	nil	nil
1	290.7020198257451	1.0012102226828574	1.0	nil	nil
4	298.75530617211007	1.1477749085115647	1.0	nil	nil
1	304.7952908250536	0.9076752915116231	1.0	nil	nil
2	310.8485960206144	2.694346257731013	0.0	310.8485960206144	2.694346257731013
1	314.8885867063036	1.37488540891718	1.0	nil	nil
2	322.928559325841	1.2062642456821777	1.0	nil	nil
4	328.96854142511984	1.2381292032187048	1.0	nil	nil
3	333.00852141489304	0.878126845065708	1.0	nil	nil
2	337.0618259928415	1.0332860094840726	1.0	nil	nil
1	345.11514603013893	0.8193281594958535	0.0	345.11514603013893	0.8193281594958535
2	351.1684521821953	1.3263690391922864	1.0	nil	nil
1	355.20843074624827	1.2140071867561346	1.0	nil	nil
2	359.24840640471666	1.037910480352366	1.0	nil	nil
2	365.30170393928165	1.7768715216716373	1.0	nil	nil
1	371.3417083778677	1.1604502010250144	1.0	nil	nil
3	375.38169728591674	0.9683234050862666	1.0	nil	nil
3	381.4350042290389	0.8913978122891422	1.0	nil	nil
2	387.4883119602164	1.117656314982014	1.0	nil	nil
3	395.54161159827163	0.9926928984641563	1.0	nil	nil
4	399.5949324095891	0.866820458397342	1.0	nil	nil
2	407.6482329620321	2.6694519997199677	1.0	nil	nil
2	415.688202856456	1.2537079196699779	1.0	nil	nil
3	419.7281744513184	0.8532815819289681	1.0	nil	nil
3	425.78148888699616	0.9678997343071387	1.0	nil	nil
4	429.83480081011476	0.8990947693473572	1.0	nil	nil
4	437.88810865960295	0.89328470908913	1.0	nil	nil
1	441.9414333029217	0.9838506903015514	1.0	nil	nil
3	447.99474673698387	1.082401888928871	1.0	nil	nil
3	456.04804645023614	0.8529284211781487	1.0	nil	nil
4	460.10135401497973	0.8076535126674571	1.0	nil	nil
4	468.1546628420183	0.9782587864319794	1.0	nil	nil
3	474.20799031672686	0.8848661687006825	1.0	nil	nil
2	482.2612747831845	0.8559246764052659	1.0	nil	nil
4	488.3145840634061	1.169984329098952	1.0	nil	nil
1	492.3545672595483	1.1625516207295732	1.0	nil	nil
4	496.3945542455822	1.041940422503103	1.0	nil	nil
4	502.4478471600887	0.8206627367435431	1.0	nil	nil
1	510.5011737484838	1.0156616208296327	1.0	nil	nil
3	514.5544820651903	1.4018014959037828	1.0	nil	nil
4	522.5944590731815	0.8897128475327918	1.0	nil	nil
1	528.6477665908023	0.9483527817610593	1.0	nil	nil
2	532.7010772987505	0.8390058753338963	1.0	nil	nil
1	536.7544030279041	1.0736206408728322	1.0	nil	nil
1	542.8077219663337	0.868726307662655	1.0	nil	nil
2	546.8610385245502	1.0628608528259065	1.0	nil	nil
1	550.9143503754804	0.7937969771101052	1.0	nil	nil
4	556.9676621462022	0.812544921243898	1.0	nil	nil
2	563.0209722776453	0.7591423375015438	1.0	nil	nil
1	571.0742831740845	1.1053024112934509	1.0	nil	nil
2	577.1275881831589	2.747838508506902	0.0	577.1275881831589	2.747838508506902
1	581.1675523757021	0.9483733223714808	1.0	nil	nil
2	587.2208751461312	1.7509508527255093	1.0	nil	nil
2	593.2608434634403	1.1264671001317765	1.0	nil	nil
