Condition	Onset	Duration	Response	Error_onset	Error_duration
2	0.6399837054711952	1.3031463008453557	1	nil	nil
1	6.679958056527539	0.959589879585792	1	nil	nil
3	10.733285963364324	1.0896900369966716	1	nil	nil
4	18.78658577888291	0.916400455188068	1	nil	nil
1	22.839872105194445	0.9434576404414656	1	nil	nil
1	28.893220279930574	0.9860260339487468	1	nil	nil
4	36.94649564162455	0.9487940755370801	1	nil	nil
1	42.99983336408013	0.9588284271949306	1	nil	nil
1	49.05754894975871	1.0774812711176764	1	nil	nil
4	55.10643284572734	1.0685826356791495	1	nil	nil
2	61.15975780286544	1.198521734727592	1	nil	nil
1	67.19973199450556	0.96702823068199	1	nil	nil
2	71.25305742588148	1.6171597980730894	1	nil	nil
2	79.29300130841489	1.3376692116423783	1	nil	nil
3	83.33301756985725	1.129424707486578	1	nil	nil
2	91.38632063084651	1.164101301396613	1	nil	nil
1	97.4262774010167	1.0122123231633395	1	nil	nil
2	101.47959604066614	1.2461871203843202	1	nil	nil
4	107.51956060417683	1.39098852304528	1	nil	nil
1	115.55953686922862	1.1980137839761937	1	nil	nil
2	123.59951126640522	1.0305435266043332	1	nil	nil
4	129.65281677177427	1.1692146773077638	1	nil	nil
3	137.69277509199014	1.265072706764613	1	nil	nil
3	143.73276827219047	1.112525592797283	1	nil	nil
1	151.78609290849113	1.003104873720531	1	nil	nil
3	157.83936705100314	1.3896653756305568	1	nil	nil
2	165.87934731649602	0.9655956516508013	1	nil	nil
3	169.93266763151814	0.8887062763812992	1	nil	nil
2	177.9859907127602	1.1067918537382866	1	nil	nil
3	182.03931717883665	0.9579609300274115	1	nil	nil
3	188.09261775133086	1.3125736953447813	1	nil	nil
4	192.13257969400138	0.9520861949688424	1	nil	nil
1	200.18590089533677	0.9871977421069005	1	nil	nil
4	208.23920638666914	1.1891549875174405	1	nil	nil
4	216.2791764074234	1.1335974954631638	1	nil	nil
3	220.33247396204092	1.3921824712499529	1	nil	nil
4	224.37247992761104	1.1042215011179906	1	nil	nil
2	232.4257775233359	1.0828652874001818	1	nil	nil
4	236.479098340669	0.9570034560201748	1	nil	nil
